   Compiling mechanic-physics v0.1.0 (/Users/jens/repos/mechanic/crates/mechanic-physics)
    Finished `test` profile [optimized + debuginfo] target(s) in 1.43s
     Running unittests src/lib.rs (target/debug/deps/mechanic_physics-ced37d44e4e3378f)

running 1 test
event refinement dt=4.658863147739728e-3 elapsed=3.8512867986592453e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.00046523520260355425, separation: 3.3306690738754696e-16 }
event refinement dt=4.656744846847627e-3 elapsed=3.853454265799686e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.1219023306807685e-5, separation: 1.3877787807814457e-15 }
event refinement dt=4.656693786094317e-3 elapsed=3.8535065099286566e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 2.7042716510550235e-7, separation: 2.220446049250313e-16 }
event refinement dt=4.656692555282466e-3 elapsed=3.853507769225156e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 6.518384054743365e-9, separation: -1.1102230246251565e-16 }
event refinement dt=4.656692525654186e-3 elapsed=3.8535077995792665e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.5711876244495215e-10, separation: 5.551115123125783e-17 }
event refinement dt=3.6455528160471646e-3 elapsed=3.8535078003109203e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.12092828395221128, separation: 9.43689570931383e-16 }
event refinement dt=3.20506845445012e-3 elapsed=4.294358246412656e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.0026525736720785877, separation: -2.220446049250313e-16 }
event refinement dt=3.1965257014088303e-3 elapsed=4.3028599266121395e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 5.1928919660326756e-5, separation: 1.0103029524088925e-14 }
event refinement dt=3.196358868797252e-3 elapsed=4.3030259187384805e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.0140966288929576e-6, separation: -3.3306690738754696e-16 }
event refinement dt=8.333333333333333e-3 elapsed=0e0 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.45162626078761164, separation: -1.6653345369377348e-16 }
event refinement dt=4.569781160103236e-3 elapsed=3.763552173230097e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.019228603183967755, separation: 6.106226635438361e-16 }
event refinement dt=4.481910651538039e-3 elapsed=3.8514226817952936e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.00045473851491115196, separation: 2.220446049250313e-16 }
event refinement dt=4.479872554144395e-3 elapsed=3.8534607791889386e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.0553109600408561e-5, separation: 1.1657341758564144e-15 }
event refinement dt=4.4798252775583355e-3 elapsed=3.853508055774998e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 2.447976115149686e-7, separation: 3.3306690738754696e-16 }
event refinement dt=4.479824180907807e-3 elapsed=3.853509152425526e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 5.678469250369744e-9, separation: 5.551115123125783e-17 }
event refinement dt=4.479824155469263e-3 elapsed=3.85350917786407e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.3169909607313457e-10, separation: -3.3306690738754696e-16 }
event refinement dt=3.6455486496476505e-3 elapsed=3.853509178454059e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.12093059050605172, separation: 7.216449660063518e-16 }
event refinement dt=3.2050563524550217e-3 elapsed=4.294367529374489e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.002652621492058736, separation: 3.3306690738754696e-16 }
event refinement dt=3.1965134768144783e-3 elapsed=4.302869330738271e-3 hit=TerrainSweepHit { collider: 40, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 5.192969613787568e-5, separation: 9.992007221626409e-15 }
